Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
4369 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4377 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4385 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
156 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
160 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
162 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
164 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
166 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
168 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
170 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
172 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
176 Hays Boulevard,,1180.67,366.33,,,,M-217,RES755-2001
156 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
160 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
162 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
164 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
166 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
168 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
170 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
172 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
176 Hays Boulevard,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
1806 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1814 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1818 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1822 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1826 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1830 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1834 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1838 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
1842 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
2098 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3001 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3002 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3005 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3006 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3008 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3009 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3010 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3013 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3014 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES365-2006
3017 Falling Leaves Lane,4027.32,,,1257.27,929.95,236.01,N-785,RES365-2006
3017 Falling Leaves Lane,,,,,270.92,,N-785,RES693-2010
3018 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES693-2010
3021 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES693-2010
3022 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES693-2010
3025 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES693-2010
3028 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES693-2010
3029 Falling Leaves Lane,4027.32,,,1257.27,1200.87,236.01,N-785,RES693-2010
1806 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1814 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1818 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1822 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1826 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1830 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1834 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1838 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
1842 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
2098 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3001 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3002 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3005 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3006 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3008 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3009 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3010 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3013 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3014 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3017 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3018 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3021 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3022 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3025 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3028 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
3029 Falling Leaves Lane,,653.81,983.53,,,,N-785,RES693-2010
